Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,6011.806416,6439.360725,6580.170226,6447.428591,6483.519095,6496.454312,6582.672435,6722.714301,7296.073935,7802.718789,8275.835454,8986.703236,9830.209501,10941.36906,11651.91256,11971.88075,12835.73449,13112.35583,13219.13767,13783.45569,14688.41897,13716.22616,13476.48983,12720.27578,13093.67707,13832.06803,14630.41637,14857.69657,14559.71423,14759.65057,14045.00733,14008.70629,13707.25966,14109.85109,14621.69791,15023.70324,15113.31308,15383.93369,15201.73152,15048.32483,15486.50593,15488.57643,15753.34968,15733.98307,16441.55241,16774.70881,17250.23055,18108.37858,18842.56641,18638.70041,19854.75871,20455.64404,20663.17375,21098.93703,21024.56766,20109.68696,19285.45077,19333.9364,19397.36521
Burkina Faso,89447.29507,91823.03137,96159.03275,93665.22076,94468.10763,96585.15967,95598.9378,102346.6541,103722.5043,104022.0494,102358.3744,102013.4537,102547.6534,101179.2656,107576.0821,108740.1843,115773.2782,113933.952,116777.0191,118500.9832,116798.5109,118939.0545,127161.138,124426.2369,119124.3818,125980.8736,132525.5241,128811.5516,132750.5732,132072.3383,127831.2123,135742.682,132443.4248,133364.6852,131483.1243,135234.3203,146035.9558,150998.4343,157554.3485,164510.8716,162812.0624,168687.3287,171039.7847,179117.4935,181740.0269,191723.8493,197713.6505,202696.6544,211002.1212,210775.5092,215495.6897,222965.3553,230343.8136,236528.1567,239560.6691,241680.9115,248666.4564,256805.4451,265792.2089
Burundi,158342.1287,133966.4304,143349.863,146402.3095,152405.7108,154965.397,158222.2214,175511.2965,170598.7765,164318.2851,195625.8459,198099.7781,183353.0734,194056.6586,190463.9756,188971.5141,200194.799,218317.4667,211071.5738,209184.778,205868.1506,224997.2538,216872.3865,219038.0599,213512.4914,232153.5172,233032.6198,238990.4873,244139.3958,240982.7239,243368.6434,249745.1522,246914.8418,227015.8825,214586.3402,194684.3192,176950.0128,172372.4529,178708.5276,174601.3018,170072.6964,169667.7691,172491.9313,165324.7478,167907.7883,164055.2124,167413.4174,167589.1804,170029.9849,170804.6805,173804.6536,175105.4819,177203.3448,180193.5979,182034.3291,169498.7067,163213.125,158892.9695,156403.0317
Cameroon,411017.0991,407375.8325,410924.9803,417081.6754,422314.8575,421131.6342,430402.9466,374406.9289,388601.7586,397666.0668,399733.4949,403137.5958,403217.1457,413628.7024,445740.2064,482303.3616,443112.1394,489736.2006,580311.8092,597351.2219,568233.5891,645308.6336,672749.0069,696922.294,725882.7871,760035.1451,786157.1439,745223.986,665562.614,633416.6893,576855.2167,538527.1747,506737.173,453319.8073,450110.5201,453091.9636,460300.8711,471763.8149,480303.0498,488029.8868,492297.2212,500416.1129,507949.4082,517134.9773,537533.615,533734.4594,537333.9097,548429.0786,552162.9576,548983.5701,552383.8621,559644.545,569307.1075,583982.1975,601862.7751,619050.5704,630818.8726,636202.8236,643722.1382
Central African Republic,250907.6574,259126.4074,245347.9905,239377.7266,239914.9331,237596.252,234366.7346,240260.2116,238620.2452,250562.0169,251836.9605,250618.5759,246958.1568,248028.2112,259702.825,256230.3184,264922.0286,269221.474,266245.5578,253239.3612,235454.8331,225155.248,235165.6059,209507.3032,222887.755,225828.81,228903.2748,213562.9656,213414.908,213531.9736,204405.1912,198207.1274,180414.4718,175854.4969,179242.2046,186922.2157,174803.2862,179499.0384,183444.531,185640.6411,176921.2787,180768.8732,183359.95,169929.9775,176537.6432,174677.8784,179470.5237,184164.6399,184633.378,197518.2271,204349.7627,211385.8213,221178.8122,141105.0324,140756.8028,146229.4994,152043.7615,156804.7453,161144.4735
Chad,290329.3629,288735.1909,298279.2237,287761.3375,275096.155,271490.226,261635.1456,258834.7437,252899.5671,265072.967,264429.4146,252757.1012,249694.137,223345.0679,229033.3152,244256.8082,246439.9764,247085.1952,241272.953,185879.1862,171091.0497,169186.9479,174254.4214,196813.2556,195772.0282,231985.9039,216076.2814,204463.3383,228651.5214,232165.8665,215401.6667,226426.8138,236862.9564,193350.6438,206131.6573,201860.8819,199478.0681,203662.7134,210348.0596,201557.914,192561.164,207022.3912,216104.8254,238538.4882,306941.694,347234.8653,337437.9454,336851.6808,335787.7428,338551.0053,371817.1884,359816.8677,378792.0765,387188.7543,400481.0094,398515.5526,362023.6174,340560.0458,339144.4597
Chile,1959813.088,2020179.829,2058615.99,2135143.737,2147181.881,2127134.786,2323949.261,2366803.084,2411230.845,2465444.714,2470036.778,2659397.64,2590342.24,2421209.236,2440148.937,2092270.558,2139221.833,2326771.551,2468358.293,2636749.693,2806327.165,2947464.449,2586664.52,2423033.676,2486926.975,2548854.889,2645225.632,2772216.784,2928406.253,3166979.081,3219335.86,3413844.591,3732942.502,3914665.27,4047321.58,4343111.487,4572904.495,4846508.864,4991450.097,4910209.278,5111247.355,5220944.406,5325395.543,5485467.898,5820237.193,6090686.205,6407429.378,6650292.697,6811641.91,6634440.663,6949591.444,7301087.04,7615706.761,7846578.883,7900920.866,7988300.654,8014828.899,8002486.427,8209564.888
China,1483.494071,1089.958051,1020.729312,1098.531898,1268.463747,1448.558822,1558.771028,1431.551968,1337.478223,1521.7739,1766.024687,1839.476766,1863.207965,1962.466513,1966.744801,2100.80679,2036.074169,2160.559778,2369.202723,2515.482608,2678.058281,2780.729602,2984.888861,3260.848294,3705.573682,4146.874468,4450.895604,4892.075771,5354.763462,5494.025015,5625.530682,6065.05102,6842.890506,7702.770043,8610.277187,9449.803235,10279.70243,11114.26501,11870.90265,12670.91483,13638.97294,14669.50668,15902.02617,17389.24159,19034.12039,21078.87073,23627.69327,26849.647,29291.31956,31885.66047,35107.10086,38276.30871,41084.02141,44057.62639,47034.87425,50027.92404,53109.78475,56382.2886,59830.13155
Colombia,5226062.945,5322940.967,5438638.225,5446268.13,5608687.965,5639913.116,5764559.398,5834132.491,6011726.253,6211454.062,6431935.767,6653052.975,7000258.221,7306019.226,7557142.476,7563339.986,7746306.295,7890029.647,8369031.114,8625042.767,8781506.798,8786737.799,8679046.767,8627644.83,8729146.625,8814070.883,9137862.63,9436199.306,9626190.385,9760088.847,9979674.815,9981691.44,10185042.04,10529007.77,10933201,11292787.52,11321364.24,11508758.95,11381095.43,10725067.53,10863138.61,10873649.75,10977027.27,11239810.67,11672632.5,12058153.84,12710756.62,13414642.77,13689602.36,13701343.36,14147590.99,15042718.98,15489495.61,16050431.75,16640447.62,16933516.53,17053461.94,17026009.21,17215385.46
"Congo, Dem. Rep.",357743.5682,310980.8606,367430.3673,376709.8781,357907.4802,351778.2611,365263.4093,351497.4513,356348.5972,378661.9241,367329.0032,378915.3576,369475.0828,389057.7749,390582.8634,361055.6845,332355.1642,325373.1322,299252.9189,292258.0446,290794.2268,290129.1771,281747.6177,278818.693,287034.519,281027.7971,286586.4655,286369.6909,279601.7045,267639.374,241771.443,213419.192,183716.0545,152902.0048,141692.7144,138143.2984,132953.2028,122421.7359,117686.9786,110037.2534,99853.21246,95086.12914,95056.45988,97326.03118,100667.4048,103494.9629,105549.2258,108557.2228,111579.2849,111020.7491,115016.2086,118888.128,123134.5624,129202.095,136819.7033,141529.8647,140245.165,140808.2088,144187.48
"Congo, Rep.",167636.4329,177305.9586,181972.9451,170277.2309,172265.8158,173955.5656,171655.5612,170580.1424,178586.7196,186740.8251,193022.0069,202046.3639,213119.4578,223955.8896,234585.0825,245387.3837,240483.252,212655.3834,219690.5849,234329.24,267739.2063,305848.7482,367143.2871,377506.4509,392405.5822,376934.3546,341423.2564,332781.2761,329531.2947,329001.6592,323328.3985,322111.6664,321545.3532,309698.5019,284628.4746,287752.3003,291666.3885,281608.4838,283783.6832,268559.4844,280685.8453,283163.1361,287866.6452,281984.7358,283181.6157,295684.9377,303860.3887,288947.3479,294754.3628,306537.0673,323353.0608,325198.1185,328922.1449,331954.6479,345914.5015,346359.1631,328218.8975,309972.5638,305170.3324
Costa Rica,1670050.731,1639348.207,1665673.879,1716843.13,1717964.352,1796946.067,1861139.323,1906441.433,2007678.617,2058801.375,2153971.184,2240924.813,2364222.634,2484692.548,2558611.225,2547543.857,2619937.669,2779573.17,2876412.667,2938665.42,2882079.675,2741632.126,2473624.873,2476083.636,2603282.457,2552615.441,2623447.818,2677361.696,2698099.619,2777720.752,2802260.015,2791779.027,2970206.047,3099814.906,3157878.073,3207626.728,3169707.033,3268193.429,3417658.508,3477874.517,3541064.608,3599528.309,3657406.867,3755240.302,3861427.734,3954418.582,4182163.471,4462940.649,4609235.111,4506327.551,4670954.793,4813555.22,4985368.158,5040314.259,5159518.743,5289095.061,5455665.822,5583330.307,5675334.047
Cote d'Ivoire,575389.9852,610245.9782,594927.5389,655433.3312,741947.6556,692440.5593,744956.9891,751700.4537,815694.7572,859874.813,911028.8486,954762.3354,951074.9679,961772.4397,957531.0357,989496.2115,1067121.464,1094237,1160153.548,1136054.734,967784.0898,958695.858,919927.7903,847319.0727,791109.9529,794370.8747,789298.4766,757803.6467,739022.3432,733842.1105,700089.068,675587.9056,650264.8651,626556.2131,610310.9896,632421.0746,659683.3444,663322.1615,675546.3642,667498.5843,636923.5406,622623.2382,598791.4663,578298.0558,573339.1565,571005.6514,567285.9081,564762.1419,566293.5424,571484.9191,569562.1915,531736.8932,574501.0485,610267.7998,647513.1493,687219.0962,723421.1853,759539.5006,795432.9988
Denmark,118530.7523,125214.3975,131284.099,131083.7463,142094.9373,147414.524,150243.7006,154164.1816,159319.1817,168457.9712,171770.1027,175706.5571,181569.2085,187861.6971,184890.3028,181672.6464,191952.9533,194934.9694,198656.8437,205836.8789,204593.7701,203288.6581,210933.9163,216558.564,225698.8752,234640.1863,245818.4123,246131.4872,245978.4522,247417.01,250659.4721,253494.0302,257601.7003,256772.3261,269552.7761,276270.7004,282678.5386,290685.8733,296056.6259,303777.6177,314108.1362,315560.9942,316021.3368,316392.2135,323995.8588,330654.3319,342465.5143,344050.2102,340283.4036,321860.4125,326429.1779,329433.6115,328939.7375,330628.5944,334283.4736,339706.105,345153.8449,350699,353930.0309
Dominican Republic,40461.15803,38224.93516,43283.26739,44614.29354,46123.43349,39110.62938,43022.34036,43124.58687,41960.89822,45194.99555,51929.26245,55988.4217,60141.06417,66103.51444,68258.09411,69982.26714,72834.26816,74600.03566,74380.09099,75938.22001,80122.99548,81694.4127,81276.67291,83229.02096,82513.58622,79107.22712,80245.65713,86618.48822,86764.71789,88842.5093,82400.00314,81611.58137,89079.16677,93888.94967,94609.77123,98255.52436,102380.8833,109662.4317,115173.3934,120130.3049,123830.1671,124997.7231,128724.6287,125193.8527,126635.4224,136704.1483,147279.9985,156166.4231,159147.0208,158662.2059,169795.1369,173008.253,175603.3133,182014.2166,193658.8325,204930.8862,216042.5831,223397.3109,236361.3163
