Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Haiti,1990.230348,1894.736295,2004.905742,1929.237011,1861.173698,1865.201789,1819.184296,1746.865678,1768.668011,1802.571405,1782.276454,1865.480702,1852.497197,1908.516147,1984.49737,1970.985455,2097.357648,2132.821712,2219.387632,2336.946305,2454.601945,2330.805528,2195.691415,2163.86445,2120.25151,2085.057275,2029.444438,1970.689808,1933.886171,1839.563756,1821.644962,1819.5289,1689.75041,1567.815747,1354.734121,1461.488142,1494.448889,1507.457981,1513.223172,1527.261563,1514.202984,1473.149116,1445.049856,1426.523173,1353.910385,1356.132195,1364.45136,1387.712936,1377.482413,1398.002836,1301.056012,1352.397983,1370.972819,1408.446309,1427.664307,1425.159856,1426.599068,1424.622933,1427.460538
Honduras,11059.18013,10953.95412,11267.06061,11349.01859,11631.37921,12325.90844,12618.29951,12987.41646,13442.58857,13136.77692,13216.63392,13344.45566,13702.11369,14347.95703,13753.73562,13627.98015,14605.58554,15633.28038,16061.69934,16446.45014,16042.9296,15367.91153,14596.06088,14287.33953,14739.6629,15109.64235,15449.19812,15996.20171,15806.37764,15773.23357,15753.54097,14802.59903,15264.30338,15804.61251,15396.98486,15891.57513,15731.99927,15990.236,16099.09536,15539.13719,16222.38254,16226.30745,16404.59702,16723.21493,17334.58942,17949.58697,18689.1185,19402.87517,19786.96785,18903.58892,19215.91542,19569.0058,19999.58105,20189.10906,20441.5924,20860.10669,21303.1137,21948.53268,22394.17026
Iceland,1430296.719,1401506.519,1490148.335,1614395.947,1743220.627,1839574.487,1966689.931,1910688.937,1781546.826,1806982.063,2026778.186,2273035.75,2378378.597,2502204.398,2609443.885,2592930.785,2720309.74,2938347.55,3090919.329,3209596.611,3358331.483,3461853.201,3489487.176,3369512.164,3471522.246,3557700.459,3753191.137,4029544.983,3963365.837,3924703.187,3939839.418,3885729.402,3707742.346,3718439.255,3819380.769,3803146.633,3955655.896,4064191.491,4306207.441,4426458.254,4579844.442,4695569.226,4685543.958,4758749.929,5096517.212,5334023.372,5483747.18,5847484.009,5854085.349,5438750.394,5259444.617,5342064.087,5382603.327,5552344.125,5605143.189,5794878.338,6135132.948,6268803.064,6369185.908
India,16358.83675,16632.10833,16775.27247,17418.84113,18333.31531,17482.62084,17112.67032,18070.06124,18291.64084,19072.66689,19618.9773,19496.09373,18947.15613,19121.31356,18902.00861,20158.02942,20026.37793,20992.68594,21690.17893,20087.68594,20951.25198,21699.47929,21936.8616,22995.98116,23332.72697,24009.93185,24604.21765,25027.28354,26854.1304,27856.96434,28794.37153,28511.15741,29477.80518,30275.68911,31670.27467,33421.60332,35269.95738,36018.74343,37549.12372,40139.30564,40950.55661,42190.2846,43061.46126,45685.49989,48515.10449,51538.53989,54838.69737,58155.44215,59078.71762,62830.85562,67255.62377,69874.49065,72785.13218,76522.61736,81256.8666,86779.92812,92851.92794,98455.68527,104243.2224
Indonesia,6275751.296,6463132.272,6410013.036,6101937.781,6150224.555,6051179.36,6053554.446,5972472.242,6446902.704,6703181.449,7018993.399,7315287.899,7627129.304,8033962.175,8428636.856,8627527.251,8995459.677,9547603.331,9951312.89,10428905.64,11192097.25,11799982.3,11789344.69,12008388.75,12566558.94,12606001.77,13077747.67,13455946.63,13967503.18,14736698.3,15524808.84,16312080.88,17080679.13,17893758.64,18938667.09,20181461.43,21436330.82,22120121.65,18945761.85,18831056.96,19486793.74,19922358.88,20538085.98,21231561.88,22002459.14,22946275.58,23888797.35,25070448.45,26228711.51,27080443.65,28383630.91,29731348.32,31100858.74,32391939.74,33570728.79,34764315.77,36071347.59,37456481,38949348.09
"Iran, Islamic Rep.",38132839.4,41425186.15,43831585.26,45810962.68,48731261.34,55640639.3,60277468.49,65516549.25,73229388.25,82943507.75,89748073.07,99997522.23,111393094.2,117682680.2,121855657.9,115480543.5,131351995.9,122141811.1,101598455.7,87800179.3,61305412.5,55891290.76,68264796.77,71108007.54,62242281.97,61064769.84,52702886.73,51041241.07,46573410.49,47806115.11,52928626.13,58129104.08,58656898.35,58330751,56627126.12,57116535.4,59249500.52,58741710.63,59237078.29,58979481.47,61651983.09,61359967.05,65000639.26,69808594.94,71987049.61,73419668.34,76224684.37,81537992.72,80853792.96,80767644.23,84480086.15,85701543.37,78371236.84,77255659.81,79785753.54,77702468.28,86924734.92,88948076.93,88948076.93
Israel,32712.72728,35196.08564,36944.5492,39417.65519,40896.02903,43083.25092,41968.21091,41398.52998,47126.70581,52143.18015,51977.97652,55884.95983,61100.25791,61955.6869,64034.12072,64618.11962,63395.30419,62633.38705,64733.13824,67008.34563,66511.44924,68681.68566,68807.49189,69836.76115,69573.27258,71116.54596,72958.87345,76915.52201,77852.95995,76983.27889,80097.31361,81247.01458,84577.55666,85749.5439,89764.30194,93171.81495,95509.6474,96815.84111,98094.78657,98673.63851,103518.9083,101167.5002,99162.76808,98299.98689,100676.5164,102822.4078,106680.5575,110845.4953,112025.0913,110652.7626,114633.7122,118125.6021,118418.8719,121046.8265,123374.012,124058.9791,126526.2965,128371.5818,130073.9223
Italy,8205.604788,8819.91073,9303.901371,9754.401159,9945.151664,10184.0388,10709.95919,11396.00465,12065.35976,12728.85555,13328.82006,13507.99678,13927.21607,14818.80942,15531.89258,15116.69652,16113.23749,16455.77712,16928.54113,17885.54948,18460.95803,18594.47367,18657.55076,18868.84588,19473.17407,20012.26581,20583.4893,21238.33866,22118.46436,22850.77619,23285.04143,23626.90673,23807.84338,23590.38213,24092.9081,24788.03725,25099.84782,25547.00117,25952.39151,26352.77683,27318.11404,27786.63112,27814.24324,27732.78262,27989.76592,28117.07104,28595.18954,28870.49951,28378.61924,26700.957,27067.88827,27177.18886,26339.96732,25586.43342,25381.5698,25640.7933,25971.77274,26448.79159,26722.32857
Japan,755579.0627,824799.1237,889947.2226,955586.1249,1056105.575,1105621.704,1212125.779,1333956.542,1500796.688,1653525.065,1641461.099,1696610.217,1813769.631,1943308.741,1883203.678,1910587.718,1971894.68,2038725.844,2126873.273,2224691.719,2269511.364,2347633.793,2408996.624,2476928.466,2572070.232,2690179.174,2762783.648,2879285.779,3061556.216,3197171.89,3342171.65,3445679.774,3466286.24,3439832.993,3462177.556,3543560.518,3644172.539,3674619.484,3623295.76,3607573.757,3701653.916,3707750.373,3703503.578,3752063.968,3833494.609,3896866.975,3949698.882,4010423.185,3964647.218,3750374.125,3906878.27,3909603.818,3974398.37,4059749.837,4080373.339,4134658.662,4164640.991,4251954.845,4294152.94
Kenya,41712.27053,37286.35452,39541.53043,41656.50942,42329.82905,41787.10905,46378.29565,46355.96979,48382.71708,50458.53459,46446.19322,54750.8198,61818.23002,63100.99315,63273.52448,61487.54859,60493.29837,63757.89158,65625.62406,67974.8603,69067.88921,68957.92049,67342.91952,65650.3456,64309.24396,64609.22451,66743.4191,68194.37243,69902.20474,70687.5344,71199.90149,69876.22615,67115.99257,65265.3183,64959.7353,65824.62762,66585.23233,65022.36232,65308.2606,64991.41321,63610.23314,64238.08171,62861.00335,62974.69639,64412.52111,66373.89014,68747.55588,71451.4509,69662.75441,70013.75392,73860.36332,76288.99888,77674.20898,80114.8922,82273.81898,84837.9829,87676.87573,89798.67417,93297.36789
"Korea, Rep.",1091659.672,1132677.575,1143007.797,1213777.679,1294296.719,1352452.217,1476917.163,1574372.798,1741136.72,1949688.733,2098271.239,2272398.28,2389638.257,2695868.349,2900810.803,3076728.157,3425122.982,3786157.755,4130861.96,4419623.727,4277252.187,4513410.135,4811506.544,5368913.463,5856861.795,6248919.27,6881509.763,7663576.371,8492339.045,8999867.088,9785983.591,10692857.66,11235828.54,11883783.7,12847899.06,13936582.74,14852806.99,15585582.23,14626892.42,16165678.22,17461748.25,18112445.21,19346502.41,19811026.11,20699533.23,21466160.08,22459016.52,23566673.47,24050115.64,24095935.26,25533864.88,26271145.85,26732478.68,27381774.97,28119533.94,28752128.27,29461101.98,30233342.85,30938436.71
Lesotho,2127.904755,2127.888215,2408.259138,2613.025172,2773.212109,2775.993449,2707.52711,2939.065132,2864.535085,2844.597958,2841.508084,2919.599579,2847.457035,3515.179933,3805.376896,3205.6347,3462.210979,4097.087219,4707.06198,4703.986678,4446.568453,4355.448661,4428.820666,4400.622512,4528.958315,4536.213076,4640.595717,4572.847262,4860.840675,5032.78865,5220.56442,5459.945115,5709.528779,5780.349856,5997.360642,6073.112792,6294.689062,6415.863822,6418.400403,6378.021628,6582.598027,6807.21094,6876.450529,7230.90032,7398.758836,7692.892139,8043.19047,8444.718212,9012.913857,9193.191453,9724.774138,10353.3395,10913.32478,11040.41347,11301.94731,11526.72668,11801.56814,11441.26107,11517.74848
Luxembourg,20450.83878,21041.42766,21067.66154,21566.95021,23004.29621,22576.91283,22662.85867,22637.39831,23524.4772,25744.0617,26771.80685,27224.99905,28671.44287,30713.64303,31592.75933,29195.98245,29788.1061,30203.21537,31377.63358,32038.49158,32193.09213,31921.48949,32256.12065,33211.46758,35230.01082,36143.61178,39574.20939,40872.03264,44010.63944,47855.10607,49774.0055,53356.9416,53610.96194,55118.0834,56450.08351,56459.8495,56469.863,58950.53522,61741.11373,66078.85011,70568.7096,71499.23787,73456.50922,73751.62855,75337.22918,76547.04208,79237.01488,84541.13706,81980.78175,76968.9905,79253.52449,79479.61694,77320.08528,78314.58149,79776.93194,80967.44932,81151.86233,80427.07299,80973.4651
Madagascar,49230.53077,49044.60442,48950.18841,47312.40418,47973.08834,46563.6856,46325.5528,47639.6293,49579.0694,50078.91106,51323.29081,51907.02858,49853.85877,47216.18641,46831.75382,46101.72837,43437.04025,43214.6424,40878.3327,43637.14882,42742.86002,37501.13161,35774.403,35071.09264,34660.26843,34076.24896,33775.154,33224.2422,33399.41692,33786.12997,33852.36241,30802.38433,30259.37729,29981.93422,29063.74483,28664.45657,28380.52075,28515.67724,28714.5309,29120.80588,29569.93884,30396.78169,25746.07741,27424.46034,28016.77373,28453.33768,29022.15006,29955.49445,31187.44991,29102.22155,28375.19928,28003.67569,28073.38382,27938.09895,28095.29167,28200.79632,28600.3304,29043.26379,29745.1712
Malawi,35884.63734,37721.49133,37070.62023,35673.42752,35728.47521,39591.09847,43716.06524,45713.18902,43689.53137,45070.5112,44115.96075,49940.52824,51667.38939,51457.05664,53656.73283,55340.01081,56420.35234,57411.36608,61094.52446,61905.0822,60417.15575,55775.90618,55834.77489,56433.32644,57523.08359,57639.35187,54528.69666,52183.36972,50752.15106,48947.30403,49924.11768,53175.1998,48840.30583,53439.44232,47793.11345,55228.86128,58214.96618,58997.53882,59626.02879,59730.66221,59069.72942,54740.3157,54332.25173,56060.99836,57650.58025,58006.7283,59105.15613,62991.95967,65897.44515,69363.03445,72033.25646,73396.9808,72673.60619,74313.09682,76377.71498,76379.28456,76183.84091,77146.34646,77764.61248
Malaysia,4361.277971,4546.883168,4686.021615,4872.165559,4977.9124,5207.004772,5462.90506,5528.906347,5824.109667,5963.236176,6171.21385,6631.920207,7086.811976,7732.795024,8179.578971,8047.769273,8757.668289,9199.362899,9562.860016,10194.94182,10685.26702,11155.42322,11543.05956,11976.57244,12589.40474,12135.51896,11945.44673,12201.90338,13020.10463,13789.37725,14614.02387,15585.33736,16539.02608,17725.717,18881.27577,20220.81268,21682.52209,22681.92626,20488.30766,21221.24045,22570.38139,22194.55196,22908.64228,23753.4964,24869.56689,25685.85942,26591.10188,27717.62192,28506.7647,27570.15025,29120.56795,30188.17348,31383.51486,32409.79159,33899.08426,35149.13071,36139.54973,37753.67121,39005.87356
Mauritania,12463.72805,13984.9579,13678.74887,13016.92381,16133.88276,18184.35564,17684.81965,17769.27429,18996.42095,18660.3463,20276.76677,20040.65149,19309.2368,17884.65926,19474.52695,17936.70626,18904.71279,18013.47362,17405.83639,17713.51644,17782.32374,17864.18582,16942.5547,17071.61359,16054.20012,16077.10364,16534.53391,16399.80316,16244.0774,16578.17236,15864.69496,15734.07833,15619.5016,16116.56321,15228.56742,16303.90762,16821.66326,15738.92057,15770.10964,16552.95452,16051.62916,15936.72291,15605.56337,16080.93105,16530.18213,17506.87873,20223.71204,20205.25619,19842.7717,19073.71288,19407.81213,19730.94556,20266.67013,20876.12439,21405.06084,21085.68863,20901.81655,20936.43725,21095.37558
Mexico,55216.81185,56200.80496,57023.32742,59762.2974,64830.9742,67305.22741,69218.48055,71029.67971,75354.71743,75569.55992,78063.51704,78585.08513,82542.33823,86447.67886,88850.59553,91367.81053,92858.09546,93520.95147,99330.23182,106279.0238,113286.6331,120028.9218,116629.4842,110007.879,111245.7339,111239.5165,105569.8038,105217.3908,104472.0452,106674.6221,110091.824,112626.145,114521.7724,114702.6314,118326.156,109059.1564,114591.122,120542.4847,124859.7956,126417.8425,130767.8626,128423.3209,126621.6287,126713.1284,129874.4093,131003.6878,134913.4121,135969.2014,135482.9307,126440.5736,131014.1686,133932.0649,136941.7128,136982.0413,139035.6609,141835.7378,144233.6557,145515.2354,146754.6889
Myanmar,123121.2238,121058.1987,123307.4339,136752.1765,125872.9317,136221.6045,126664.6052,116410.8146,127414.5748,128542.3199,131809.3341,134083.0882,134193.7881,129858.0788,133685.0951,136086.1554,141118.7324,146192.6424,152287.8853,156703.2453,165471.5522,172203.9846,177997.5377,181956.2974,187087.9692,188694.926,183219.4074,172729.7545,150518.1965,153605.7219,155625.809,152564.829,165285.8587,173272.6592,184111.8109,194579.9389,204550.7225,213351.1976,222974.929,244327.2515,274708.299,302597.6647,335596.5135,378511.7208,426177.1419,480193.7686,539117.2146,599866.3621,657302.4079,722010.0122,786089.3652,823698.159,876821.9998,942658.5929,1009644.912,1072047.206,1127097.253,1195669.4,1262098.451
Nepal,10279.88929,10310.54417,10340.44523,10366.0352,10961.47041,10643.10621,11188.90308,10809.47007,10675.26289,10934.33273,10993.09267,10641.91435,10747.6973,10472.54558,10899.18477,10819.71221,11049.36219,11131.94395,11363.89579,11372.09536,10857.20766,11494.37029,11654.10193,11046.43618,11838.7545,12282.3577,12559.02129,12493.67323,13158.82048,13412.76511,13692.63732,14189.31559,14377.23162,14528.75086,15310.76173,15448.87223,15893.20617,16330.0948,16477.5018,16873.75092,17597.21064,18134.33373,17878.1715,18320.25617,18922.75426,19333.79945,19737.29464,20166.26046,21169.45948,21950.4987,22897.27708,23656.06532,24834.47303,25928.98571,27493.08331,28292.97867,28202.61477,30029.08656,31394.27168
Netherlands,12348.41289,12223.0768,12874.85243,13162.81542,14062.63445,15069.7978,15282.11172,15907.72685,16753.48845,17625.36294,18513.40715,19084.33442,19559.96246,20454.9186,20993.14178,20807.26469,21564.55434,21977.00579,22431.12391,22725.51118,22848.93982,22514.89907,22133.81408,22506.46311,23103.65047,23589.50519,24112.75143,24422.9656,25100.71351,26053.42852,26957.03373,27397.79598,27655.33937,27808.619,28459.94361,29202.17137,30084.74959,31225.97897,32481.42037,33890.26118,35060.6743,35606.72964,35457.05042,35345.08071,35921.62545,36572.77645,37777.83111,39117.94659,39811.64727,38155.06928,38469.56623,38884.50983,38341.71343,38179.07607,38583.43115,39165.37199,39811.33256,40728.69904,41544.77663
Nicaragua,22418.98507,23353.78225,25106.22606,26993.07875,29245.5427,31072.63449,31140.91749,32320.99908,31781.28176,32756.17896,32203.11894,32264.13417,31983.51676,33004.00396,36542.56305,35375.89519,36085.94868,37920.14623,33898.76605,24187.67548,24573.91939,25162.77855,24271.26935,24714.36983,23704.50806,22180.6399,21445.10782,20822.29282,17838.20185,17152.81986,16772.1534,16371.14699,16069.35758,15654.75981,15834.81825,16435.05121,17148.22711,17510.53494,17853.57282,18801.93541,19270.93584,19548.20073,19416.48026,19632.12357,20394.39833,20979.35188,21552.92315,22337.94313,22789.95527,21739.99357,22392.65043,23488.61935,24682.11665,25556.78293,26429.80914,27338.10166,28219.48852,29164.69602,27701.9057
Niger,248298.2629,252322.55,270355.8181,287376.0579,279518.1552,290360.8295,281074.8645,273501.0402,266866.0434,245209.9401,245715.9047,252541.1841,232952.6915,187960.682,198831.1594,187904.2471,183854.6122,192498.9534,212192.8379,220867.7473,209798.8594,205093.713,202514.499,187423.7126,151465.4805,158522.1978,163799.0822,159222.9435,165258.6972,161832.2364,154850.6958,153708.4398,139028.5788,136371.3205,137067.2942,135867.491,135703.9481,134624.2328,143474.5378,137643.8669,130893.8401,135184.7035,134228.9804,136224.8866,131396.0226,132284.3931,134816.3115,133931.5329,141330.1059,135077.532,140855.5863,138593.4633,149089.2118,150929.9233,156086.0626,156655.3668,158148.1076,159639.0293,161609.0369
Nigeria,205544.8902,201803.194,205766.8656,218752.9785,224745.0701,230733.763,216224.5021,178269.8093,172214.7264,209153.0599,255547.9824,285232.5202,287949.3786,296163.7086,320877.0586,295958.7582,313580.8963,322667.1456,294987.1802,305706.6418,309612.5691,261776.2853,237705.6455,206439.8895,199039.1524,205475.2135,200317.9058,201371.2748,210527.5223,209035.2022,227703.4625,222774.8914,227287.9153,217157.5155,207965.6384,202704.0046,206017.3658,206855.513,206973.8338,203050.1683,207962.2402,214805.3796,241564.697,252816.2642,269223.0277,279242.4964,288530.7083,299558.5546,311458.5603,327648.0492,344549.9221,353250.924,358453.8419,372267.6872,385349.0376,385236.148,369177.9075,362573.9542,360160.7378
Norway,140125.2996,147737.5969,150679.4151,155204.7087,161753.4064,168984.3788,173988.3468,183333.1141,185906.8904,192704.8396,195027.6074,204650.2083,213916.9724,222055.0134,229339.1647,239371.403,252130.8002,261513.4119,270597.4689,281469.1495,293373.2365,297038.3114,296645.8289,307411.4854,325098.6642,342126.3204,354688.7874,359222.5372,356383.0179,358599.9026,364273.8134,373725.4093,384856.1262,393457.5259,411001.7178,425858.0401,445008.7685,465992.2301,475383.0821,481644.5811,493866.8211,501620.6947,506095.8385,507764.166,524756.6129,534874.6871,543292.1271,553750.1047,549520.5145,533457.9549,530498.1212,528750.6408,536054.0649,535142.6451,539592.7141,544774.9425,546408.3948,552747.2045,556797.2229
Pakistan,15692.16061,16243.02294,16563.55226,17560.57284,18417.75926,19821.40299,20430.49825,20973.76915,21900.27996,22495.99505,24384.88464,23845.99195,23394.71906,24365.65225,24526.04073,24827.98074,25342.96064,25554.94145,26767.10209,26904.26507,28705.55774,29970.89494,30877.34291,31879.67098,32395.23794,33728.90716,34454.45379,35531.79206,37070.50966,37746.35548,38281.00621,39082.00248,40936.07588,40525.86835,40896.2153,41741.73474,42537.07544,41752.81645,41615.48182,41961.93171,42606.51902,42369.26328,42691.01347,43723.89221,45875.54514,48271.61619,50091.62547,51327.86643,51033.08912,51319.14967,51010.56883,51293.07099,51974.7455,53130.28816,54462.46438,55860.74108,57732.06699,59769.97151,61733.19109
Panama,1821.530193,1961.498179,2060.824169,2171.001775,2200.712931,2332.229687,2436.461765,2568.980978,2669.988658,2813.379642,2924.389427,3115.760965,3167.950036,3246.192325,3235.939943,3205.335677,3174.568742,3128.237383,3349.59705,3415.844899,3770.670591,4021.31681,4138.775081,3863.274842,3879.34195,3981.406308,4033.843618,3875.844884,3285.984428,3267.143416,3458.109655,3705.590226,3927.270867,4057.072917,4087.924218,4075.189074,4155.558309,4334.724675,4559.649022,4644.362102,4677.385748,4613.927056,4627.600797,4732.263151,4994.368035,5255.689224,5606.976277,6166.180721,6653.437315,6617.551335,6881.184137,7527.864016,8123.429968,8537.462615,8818.565022,9166.289319,9458.053572,9792.291803,9981.964977
Papua New Guinea,3085.957984,3217.933594,3359.726628,3429.735206,3649.823005,3941.676257,4081.763863,4154.43035,4237.933443,4483.618822,4854.931697,5040.287358,5199.551227,5407.362712,5414.754408,5235.672439,4932.768763,4849.240874,5130.275938,5089.876375,4842.991867,4702.097903,4593.004452,4614.899245,4477.707536,4536.925422,4630.18472,4640.887909,4660.002846,4484.108408,4246.482985,4543.892379,5054.798989,5838.665777,6043.214874,5706.28487,6000.458842,5626.017485,5282.90744,5254.417519,5008.180863,4895.742983,4788.585682,4794.144514,4823.17764,5018.117037,5015.875834,5440.247314,5293.855495,5520.7272,5941.855579,5877.649193,6022.866827,6127.175462,6815.767129,7315.02285,7463.975058,7430.298352,7316.154585
Paraguay,7642874.64,7958882.615,8007996.785,8166773.91,8288618.526,8570012.736,8511719.689,9047005.788,9210792.268,9398170.623,9674101.341,9963828.235,10373868.14,10870823.35,11503438.18,11994769.84,12579202.09,13672278.86,14922582.58,16251218.11,17661123.3,18742957.5,17955111.61,16908094.11,16884221.65,17144155.27,17487003.51,18287651.1,18837254.58,19601391.47,19873065.71,20040975.37,19873515.67,20348667.26,20922944.51,21832291.36,21673219.19,22093364.98,21633410.55,20894012.33,20000797.99,19449452.6,19081415.5,19548886.18,19995730.51,20094312.67,20742888.22,21556823.99,22615216.5,22254325.29,24401564.3,25093198.74,24617848.2,26326150.33,27232502.64,27696926.59,28511558.76,29536505.7,30219298.25
Peru,6887.828329,7187.492222,7685.963191,7791.869684,8067.907465,8282.789954,8716.325467,8802.863094,8574.937776,8634.024122,8681.336431,8832.737669,8892.09301,9195.568234,9790.002101,9941.16985,9821.529365,9601.360436,9109.443511,9243.873861,9550.930298,9835.815097,9579.020119,8379.845194,8480.546276,8456.990972,9044.860444,9703.506544,8595.379129,7376.449354,6863.713833,6875.561719,6706.066117,6924.645116,7632.421533,8047.02714,8120.321127,8489.484373,8308.889424,8297.207183,8397.863578,8342.759891,8699.799948,8972.342987,9331.306561,9831.679265,10483.14757,11283.39439,12214.34522,12249.40875,13162.6461,13882.29857,14613.55265,15329.99259,15530.12378,15835.58834,16219.66892,16354.18976,16714.83075
Philippines,30264.90055,30915.80199,31334.36968,32465.27607,32523.7909,33182.75591,33613.76299,34368.20029,35031.31252,35617.92971,35908.69199,36783.33618,37688.67985,39894.2493,40159.58055,41222.22425,43625.80226,44820.82947,45867.90431,47149.36102,48239.26169,48542.62308,48941.36278,48515.2478,43755.14808,39475.51427,39740.98653,40362.45221,41965.82975,43428.17965,43623.33109,42305.04535,41425.95516,41302.9333,42111.61654,43069.14623,44554.10777,45818.973,44553.53191,44931.4464,45911.44619,46243.33894,46932.40367,48264.58566,50488.88877,51910.96768,53661.41728,56241.38274,57612.62151,57320.65228,60676.11538,61841.56587,64860.17292,68276.78181,71288.96773,74428.91003,78362.60442,82395.63661,86326.51733
Portugal,3402.270628,3561.79182,3770.080535,3975.447865,4223.984889,4558.023004,4779.804962,5173.12581,5656.404491,5828.432328,6621.978816,7091.085403,7671.312067,8527.91221,8505.89611,7832.687797,8138.375138,8503.567456,8649.198671,9039.497478,9352.659233,9421.943869,9564.48786,9503.734023,9289.274799,9523.97815,9909.344841,10544.54005,11346.02033,12094.41189,12599.63527,13180.35668,13334.31688,13045.89279,13136.36835,13651.62579,14075.95518,14633.50776,15257.40753,15761.24509,16243.62917,16442.92199,16478.83767,16263.721,16518.80329,16614.61282,16842.24717,17228.10345,17237.56139,16708.2731,17017.69699,16731.40006,16122.64871,16028.16171,16258.75301,16623.70138,16997.36527,17515.1112,17922.99938
Puerto Rico,629.9515691,662.5874164,702.9151271,747.1946034,784.4383818,843.456862,896.0028495,944.3239794,987.1287843,1070.79053,1146.259088,1199.718267,1260.649121,1311.981787,1322.458756,1289.798931,1347.878282,1407.355869,1485.325816,1583.205896,1630.872302,1630.998639,1588.511963,1535.527574,1610.48819,1644.24042,1709.599907,1791.259526,1879.237473,1942.942707,1871.020639,1900.643158,1974.603199,2048.985243,2115.017468,2190.897186,2216.581133,2303.248099,2416.703495,2534.235454,2609.92677,2768.768196,2790.542461,2790.28618,3033.778448,2977.791269,2948.280465,2931.112703,2893.987715,2853.002746,2855.63042,2878.491828,2914.38574,2938.929502,2951.760091,2972.676803,2992.577415,2984.45023,2953.379697
Rwanda,237329.8597,222377.6094,243152.696,215568.1895,185188.5279,193804.3589,202009.3116,209716.2478,217498.4379,233924.6141,240432.1133,236162.8816,229908.1761,230910.4268,227239.1794,215651.2221,249625.9703,246439.9619,260189.2344,281371.9188,296178.9168,301970.1841,297631.923,305114.3675,281688.4992,282414.3548,284145.8236,269989.5917,269868.1442,262770.6523,256047.4126,256830.9174,287399.3148,282582.6515,148346.5216,204029.172,223277.7381,238093.816,238976.6249,231278.8802,236977.2619,247792.6551,273961.2629,275737.9463,292063.5897,313682.303,334930.3471,351697.1601,380677.9418,393814.4309,411910.3272,433017.8443,459761.4259,469771.7985,493178.1857,523433.1811,540491.2477,558299.8225,590882.4617
Senegal,701450.8203,703039.5143,683108.0569,676888.1091,683815.3324,673614.1218,673514.6701,646488.0964,667563.4497,605817.5836,638504.5038,618710.733,638506.7772,585029.0594,592263.8435,619756.4158,658019.2673,625023.6984,586151.3533,611926.1944,576396.8,589024.3826,617024.8816,566908.7153,570543.5692,571620.4479,571803.6905,588556.2578,567659.8663,572712.3906,552004.3215,549382.9326,539878.7535,531168.3594,516369.4921,529721.8236,526878.5271,530365.213,548617.7258,569967.1401,574451.7405,586497.9309,576125.0872,599599.4676,619026.6471,637322.3754,636249.5017,650256.9994,658731.4527,654502.9233,659479.7118,650839.4434,665350.4916,665243.7716,689607.443,713202.9524,737538.2232,767965.3804,797432.6883
Seychelles,18530.98321,17137.60172,18092.25058,19425.83009,20066.65299,19361.45684,21509.08848,21092.70702,22143.298,21622.75184,22998.68284,26110.95895,27097.22287,29102.39928,28949.80582,29187.04716,33258.17467,30552.06034,36797.5527,42245.14884,40082.6876,36345.13938,35728.01608,35159.91296,36529.12527,40265.37306,39944.39316,39970.27548,41970.51414,46392.71907,49395.33284,50087.24854,53428.47392,55569.1736,53675.24426,52455.20025,54233.12745,60011.89358,63795.02194,63725.20706,64115.32953,62604.3792,61455.70871,58495.89278,57039.34041,61888.76632,66315.88298,72854.06842,69713.41828,68672.82183,70758.60532,78372.84569,78586.28359,81791.0516,84156.36555,86364.11651,89053.90221,91781.71986,94207.64628
Sierra Leone,999398.3413,1002457.271,1032006.823,1033076.002,1084351.962,1142956.559,1142634.365,1123141.131,1125366.362,1198940.903,1277841.285,1296699.238,1282640.245,1285260.504,1303065.985,1297314.352,1264247.855,1237743.64,1240020.634,1267540.884,1299523.545,1307786.394,1340878.85,1283789.167,1304737.842,1203686.532,1183913.824,1231341.109,1111546.399,1093919.601,1113470.893,1132085.951,917040.8551,933676.2587,919568.6855,847149.072,860265.8172,805479.7344,811216.1441,780745.0217,810492.2092,731999.2739,885924.5201,924618.4765,943376.7824,948920.0321,957849.4019,1007317.18,1036774.57,1046098.4,1077481.446,1119762.251,1261067.443,1488729.678,1522592.32,1182867.711,1227634.875,1252067.756,1271289.045
Singapore,4974.064626,5201.891447,5442.006628,5838.941504,5514.606864,5803.85818,6237.644748,6864.6339,7659.940358,8589.375765,9635.927958,10635.28799,11830.23602,12842.36206,13403.04063,13734.72996,14558.71452,15342.23541,16336.63324,17672.91798,19214.81227,20293.62355,20801.62753,22289.79497,23795.47628,23615.02758,23954.72554,26145.15915,28361.15144,30338.41812,32047.05277,33231.3371,34388.97724,37373.40692,40238.83256,41845.72249,43180.98109,45229.23638,42758.7452,44846.43154,48060.50915,46281.33026,47656.17404,50557.78786,54831.56309,57499.10567,60745.97312,63524.22602,61357.40907,59606.56616,67065.91957,69795.32719,71133.96357,73361.47721,75239.68303,76502.97145,77753.86047,80559.18007,82698.95273
